Target_Crop,Soil_Type,Batch_NPK_Profile,Rec_Dose_g_per_pot,Apply_Freq_Days,Compatibility_Score
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.4,14,65.8
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),23.9,14,97.4
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),43.9,7,91.5
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),27.0,10,69.8
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.3,14,89.7
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.5,7,78.8
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),29.3,7,72.7
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),31.0,14,93.7
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),45.0,7,78.4
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),19.6,14,94.8
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.0,7,96.2
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),33.1,14,74.9
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.7,7,90.5
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),22.4,10,94.3
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),22.9,7,89.9
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),16.6,7,95.3
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.5,14,73.4
Talong (Eggplant),Clay Loam,Organic Soil Conditioner (High Carbon),34.8,14,81.6
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),17.3,10,89.0
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),20.7,7,94.7
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),22.5,10,77.0
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),22.2,14,94.5
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.1,14,98.5
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),17.1,7,93.5
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),21.8,14,93.9
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),25.0,7,93.0
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.0,14,92.2
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),30.4,14,92.9
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),49.9,14,65.8
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),22.5,14,96.5
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),19.0,10,67.5
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),21.3,10,94.3
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),29.2,7,65.2
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.2,7,67.2
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.7,7,81.8
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),27.3,10,70.2
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),21.0,14,94.5
Sili (Chili Pepper),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),21.7,10,66.1
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),48.7,14,65.4
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),23.7,14,95.0
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),21.5,10,68.5
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),33.0,14,76.1
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),43.5,7,76.7
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.5,7,94.2
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),20.9,7,89.3
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),28.0,10,76.8
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),39.9,14,67.4
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),40.4,14,75.9
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.9,7,70.6
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),43.5,7,81.4
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),50.4,14,78.7
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),30.9,14,99.0
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),48.7,14,73.8
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.3,10,70.0
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),20.6,10,89.9
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),43.4,7,97.6
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.2,7,95.2
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),22.1,10,76.1
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),33.9,14,80.8
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),49.8,14,77.2
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),50.1,14,73.7
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),20.4,7,90.5
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),49.6,14,67.3
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),34.0,7,93.2
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.2,7,70.4
Talong (Eggplant),Clay Loam,Organic Soil Conditioner (High Carbon),33.1,14,72.2
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),16.2,7,98.7
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),30.4,7,67.6
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.1,14,69.9
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),44.8,7,68.2
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),30.5,7,76.7
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),43.7,7,91.5
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),19.3,10,79.4
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),28.8,7,72.7
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.8,7,92.7
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),34.0,14,74.1
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),33.7,14,78.3
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.6,7,76.6
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),43.9,7,88.2
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.9,10,74.5
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),23.2,10,91.6
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),29.7,7,89.5
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),22.8,10,79.9
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),32.1,14,94.4
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.2,7,76.2
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),23.1,10,71.8
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.1,7,71.4
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.2,14,92.3
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.4,7,92.5
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.4,7,71.9
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),25.2,7,94.5
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.7,10,78.1
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.3,7,80.3
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),25.0,7,95.2
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.8,14,94.0
Sili (Chili Pepper),Sandy Loam,Organic Soil Conditioner (High Carbon),27.4,10,80.6
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),20.7,7,91.0
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),17.5,10,71.7
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),20.6,14,91.0
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.2,7,97.5
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),49.6,14,67.9
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),29.7,7,70.9
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),49.9,14,78.1
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.8,10,80.0
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),42.5,7,73.0
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.8,10,79.9
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),45.0,7,95.4
Sili (Chili Pepper),Sandy Loam,Organic Soil Conditioner (High Carbon),27.5,10,79.4
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.0,7,80.4
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),36.4,7,77.6
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),24.0,10,70.9
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),33.2,14,73.8
Kangkong,Clay Loam,High Nitrogen & Fiber (N-Rich),18.4,7,95.9
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),34.9,7,97.5
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.0,14,92.5
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.8,14,95.6
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),28.7,7,97.7
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.1,14,92.6
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),18.4,10,98.5
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),40.0,14,81.3
Talong (Eggplant),Clay Loam,Organic Soil Conditioner (High Carbon),32.9,14,79.4
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),33.8,7,65.3
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),28.1,10,79.7
Sili (Chili Pepper),Sandy Loam,Organic Soil Conditioner (High Carbon),28.4,10,69.8
Talong (Eggplant),Clay Loam,Organic Soil Conditioner (High Carbon),35.0,14,68.8
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.0,14,88.4
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),49.4,14,78.8
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),45.5,7,78.6
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.5,14,94.6
Talong (Eggplant),Clay Loam,Organic Soil Conditioner (High Carbon),32.7,14,79.1
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),43.3,7,69.5
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),20.3,10,74.1
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),42.3,7,66.5
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),29.3,7,77.2
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),33.5,14,72.0
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),32.5,14,68.9
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),32.2,14,92.9
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),39.6,14,74.1
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),33.7,14,80.0
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),20.9,14,92.8
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.9,7,93.5
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),41.4,14,74.4
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),27.9,10,90.0
Talong (Eggplant),Clay Loam,Organic Soil Conditioner (High Carbon),34.0,14,69.3
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.1,7,68.6
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.3,7,88.7
Kangkong,Clay Loam,High Nitrogen & Fiber (N-Rich),16.7,7,95.8
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.6,7,74.1
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),22.4,10,75.3
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),42.4,7,70.7
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),17.6,7,89.0
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),16.8,7,90.5
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),28.7,7,95.2
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.8,7,69.5
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),18.5,10,75.3
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.4,14,98.6
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),45.7,7,74.7
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),29.3,7,80.8
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),32.0,14,90.6
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),51.4,14,69.5
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.0,7,73.6
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),19.4,10,66.2
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.5,14,91.2
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),22.0,14,95.3
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),24.9,14,97.3
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),44.3,7,73.9
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.5,14,93.5
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.6,14,91.4
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),28.1,10,92.3
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.5,14,97.5
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),22.5,14,90.4
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),49.3,14,71.1
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.6,7,77.6
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),16.9,10,69.3
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),29.0,7,98.8
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),45.1,7,71.6
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),31.0,7,92.6
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),43.8,7,92.8
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),20.7,14,93.6
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.2,14,89.6
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),26.8,10,68.3
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),43.4,7,90.8
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),19.1,10,70.6
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),29.4,7,90.3
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),25.0,7,95.4
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),30.2,7,93.8
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.5,14,67.2
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),20.8,14,92.4
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),34.4,7,90.9
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.5,7,74.5
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.9,10,67.1
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.6,7,81.6
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.4,7,91.7
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),29.4,7,67.4
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.6,7,95.2
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),18.3,10,74.6
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),32.3,7,77.4
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),28.1,10,66.5
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.2,7,66.0
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),49.6,14,67.4
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.4,7,92.4
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.1,14,67.3
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),22.0,10,73.1
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),43.6,7,78.0
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),29.9,14,98.9
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),39.8,14,76.7
Kangkong,Clay Loam,High Nitrogen & Fiber (N-Rich),17.9,7,96.4
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),24.8,14,88.4
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.7,7,92.4
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.0,7,97.3
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),30.2,14,95.8
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),32.1,14,94.4
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),29.8,14,91.8
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),22.8,10,66.4
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),42.7,7,70.6
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.6,14,92.3
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),21.0,10,92.5
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),50.6,14,77.2
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.0,7,65.7
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),50.6,14,73.6
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),17.1,7,88.5
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),20.9,14,94.3
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),28.0,10,79.9
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),17.2,7,88.2
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),22.1,10,95.2
Kangkong,Clay Loam,High Nitrogen & Fiber (N-Rich),16.6,7,92.8
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),43.7,7,95.6
Sili (Chili Pepper),Sandy Loam,Organic Soil Conditioner (High Carbon),27.3,10,73.2
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.7,7,88.7
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),31.3,14,94.3
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),36.9,7,78.9
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),33.4,14,79.6
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),31.1,7,74.6
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.5,7,95.1
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),39.8,14,67.3
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),26.6,10,76.4
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),17.5,10,68.6
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.6,7,74.9
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),21.2,14,91.5
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.9,14,96.9
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),22.0,14,95.7
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),27.3,10,70.3
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),29.4,7,97.1
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),18.5,10,81.7
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),18.7,10,67.4
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),20.6,14,91.5
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),17.1,7,98.4
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),50.0,14,71.2
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),20.1,7,96.3
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),30.9,7,75.3
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),44.8,7,75.7
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),21.6,14,94.1
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),19.0,10,68.7
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.8,7,88.9
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),27.6,7,97.1
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),50.8,14,72.5
Sili (Chili Pepper),Sandy Loam,Organic Soil Conditioner (High Carbon),29.6,10,65.6
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.7,7,75.5
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),34.3,14,75.1
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),43.7,7,94.5
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.9,10,68.9
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),30.6,7,67.9
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),31.0,7,95.1
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.8,10,66.5
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),30.4,7,70.3
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),25.8,7,93.1
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),16.8,7,98.2
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),31.5,14,91.3
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),34.4,14,80.8
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),29.9,14,90.7
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),44.2,7,79.0
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),17.2,10,65.1
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),19.3,10,70.5
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),27.8,10,76.0
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.8,14,79.5
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),31.8,14,69.5
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.9,14,88.1
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),19.5,10,74.5
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),31.1,7,96.1
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),28.5,7,94.3
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),34.5,14,66.4
